FID_,node_fid,Lon,Lat,Lon_m,Lat_m
,37,-72.597393909999994,42.656777479100001,1887942.299700000100000,2417992.472600000000000
,38,-72.598449829000003,42.653397604900000,1887950.929930000100000,2417605.130630000000000
,39,-72.609003313000002,42.644461076699997,1887360.151899999900000,2416426.798200000100000
,40,-72.614341640399999,42.513998318799999,1890490.623100000000000,2402177.034599999900000
,41,-72.616839850399998,42.519508178099997,1890142.731110000100000,2402724.731900000000000
,42,-72.617033041300004,42.519627919800001,1890124.170800000000000,2402733.872099999800000
,43,-72.957033779300005,42.938048585399997,1851958.135800000000000,2441412.727299999900000
,44,-72.946722242800007,42.936879718299998,1852801.923800000000000,2441486.953300000200000
,45,-72.936013645000003,43.026084068899998,1851250.757200000100000,2451369.096500000000000
,46,-72.938329178100005,43.026892734999997,1851046.855299999900000,2451411.678200000000000
,47,-72.692384747099993,42.749649959599999,1877913.570700000000000,2426177.949800000100000
,48,-72.683121342899994,42.736158890299997,1879011.112400000000000,2424898.512699999800000
,49,-72.956131982900004,43.002105463100001,1850310.898199999900000,2448377.113200000000000
,50,-72.955487943300000,43.004687836099997,1850292.324869999900000,2448669.690140000100000
,51,-72.952974049000005,43.009746065400002,1850354.503700000000000,2449267.154900000000000
,52,-72.694573680199994,42.723487554099997,1878450.601100000100000,2423298.403800000000000
,53,-72.700234955900001,42.721162239900003,1878066.552450000100000,2422934.416240000200000
,54,-72.704547349699993,42.718369085799999,1877801.699500000100000,2422546.377499999900000
,55,-72.838541591799995,42.694563943799999,1867858.032900000000000,2417324.362799999800000
,56,-72.838932753300000,42.684212243899999,1868106.293360000000000,2416193.934729999900000
,57,-72.842787325700002,42.680603273999999,1867898.889600000100000,2415726.735200000000000
,58,-72.841543534799996,42.830049568500002,1863967.581500000100000,2431958.615000000200000
,59,-72.845117981100003,42.829148526899999,1863709.888480000000000,2431790.803470000200000
,60,-72.845796536099996,42.828723968900000,1863667.801800000000000,2431731.457599999800000
,61,-72.886146818000000,42.871557508499997,1859331.770300000000000,2435586.023399999800000
,62,-72.901068757299996,42.870994575399997,1858170.293099999900000,2435233.117800000100000
,63,-72.880344941000004,42.728479481900003,1863640.584500000100000,2420182.196300000000000
,64,-72.884371741799995,42.721670081399999,1863505.700200000100000,2419364.641900000200000
,65,-72.769609908099994,42.781226095699999,1870962.123700000100000,2428078.144600000200000
,66,-72.768091131199995,42.774302772200002,1871269.252090000100000,2427357.381630000200000
,67,-72.765687569500002,42.768209652300001,1871623.797340000000000,2426744.060159999900000
