bar_id	bar_pass	bar_type	bar_type_text	unique_id	node_id	Lon	Lat	Lon_m	Lat_m
986	0.5	1	Culvert	xy4253753272826057	2226	-72.82603864	42.5374868	1873085.294	2400532.48
987	0.5	1	Culvert	xy4254202772594975	1101	-72.59496155	42.54197032	1891263.169	2405595.285
988	1	1	Culvert	xy4264169972867511	951	-72.86751129	42.64169909	1866992.173	2411021.023
989	0.7	1	Culvert	xy4268583972625924	2657	-72.62591657	42.68590185	1884895.363	2420583.303
990	0.7	1	Culvert	xy4260197872622638	2442	-72.62265439	42.60196739	1887437.617	2411549.111
991	0.5	1	Culvert	xy4273798972929467	2564	-72.92946117	42.73799372	1859503.975	2420252.097
992	0.3	1	Culvert	xy4273132172931280	1021	-72.93127506	42.73132506	1859539.792	2419493.2
993	0.7	1	Culvert	xy4268414972943849	1199	-72.94384559	42.68415508	1859812.925	2414129.997
994	1	1	Culvert	xy4265231772954447	615	-72.95444495	42.65231756	1859829.228	2410468.387
995	0.5	1	Culvert	xy4266397272937489	1200	-72.93748492	42.66398023	1860857.74	2412065.729
996	1	1	Culvert	xy4266542572935157	2527	-72.93516178	42.6654326	1861002.482	2412268.789
997	1	1	Culvert	xy4265528172936894	2236	-72.9368979	42.65528214	1861137.79	2411133.552
998	1	1	Culvert	xy4265577572936593	2235	-72.93659886	42.65577862	1861148.112	2411193.273
999	1	1	Culvert	xy4265683072935259	2234	-72.93525594	42.65683059	1861226.089	2411333.704
1000	0.8	1	Culvert	xy4267794272925213	2000	-72.92520808	42.67794497	1861453.535	2413821.175
1001	0.4	1	Culvert	xy4268458172922581	3299	-72.92257637	42.68458477	1861483.207	2414593.042
1002	0.4	1	Culvert	xy4270144672916593	926	-72.91659422	42.70144634	1861502.968	2416539.392
1003	0.3	1	Culvert	xy4268168072922260	3298	-72.92225766	42.68168051	1861586.458	2414284.218
1004	0.7	1	Culvert	xy4265098372930651	1973	-72.93065679	42.65098994	1861746.817	2410790.13
1005	1	1	Culvert	xy4263677372935389	1505	-72.93538395	42.63677847	1861754.58	2409155.675
1006	0.4	1	Culvert	xy4265114972930252	1972	-72.93025814	42.65115618	1861773.888	2410815.975
1007	0.5	1	Culvert	xy4270586872909072	1533	-72.90906823	42.70586933	1861978.964	2417166.627
1008	0.4	1	Culvert	xy4263299872931556	2874	-72.93156192	42.63299949	1862158.533	2408820.56
1009	1	1	Culvert	xy4268812872909310	927	-72.90930896	42.68812779	1862436.984	2415237.339
1010	1	1	Culvert	xy4264216872924079	2889	-72.92408425	42.64216962	1862503.806	2409961.988
1011	0.5	1	Culvert	xy4272458372893185	3410	-72.89317948	42.72458684	1862731.222	2419508.343
1012	0.3	1	Culvert	xy4270924172894436	2547	-72.89443604	42.70924073	1863044.815	2417819.107
1013	1	1	Culvert	xy4269276672899228	1802	-72.89923204	42.69276721	1863108.892	2415938.134
1014	0.5	1	Culvert	xy4269649672897349	3096	-72.89734287	42.69650068	1863157.803	2416380.161
1015	0.7	1	Culvert	xy4269471772896375	2374	-72.89637313	42.69471694	1863282.451	2416205.683
1016	0.6	1	Culvert	xy4270267972891453	2548	-72.89144989	42.70268014	1863457.368	2417166.012
1017	0.3	1	Culvert	xy4271821072885070	2775	-72.88507383	42.71820992	1863543.353	2418975.559
1018	0.8	1	Culvert	xy4271516372884397	160	-72.8843934	42.71516977	1863678.953	2418659.142
1019	0.4	1	Culvert	xy4264479672907083	1123	-72.90707931	42.64479751	1863778.525	2410580.469
1020	1	1	Culvert	xy4263852572909174	2890	-72.90917028	42.63852654	1863781.735	2409859.145
1021	0.4	1	Culvert	xy4265558672899894	2879	-72.8998892	42.65558822	1864057.067	2411892.108
1022	0.5	1	Culvert	xy4266781972895058	673	-72.89505372	42.66782423	1864110.32	2413314.322
1023	1	1	Culvert	xy4262477272906866	2926	-72.90686851	42.62478049	1864333.538	2408413.014
1024	0.4	1	Culvert	xy4267543372888684	1167	-72.88868287	42.67543316	1864409.369	2414264.694
1025	1	1	Culvert	xy4263003372901457	2931	-72.90146292	42.63003889	1864619.858	2409089.538
1026	1	1	Culvert	xy4263010972901308	2930	-72.90131465	42.63011548	1864629.53	2409100.756
1027	0.5	1	Culvert	xy4271021272873882	1819	-72.87388633	42.71021293	1864642.775	2418327.593
1028	0.6	1	Culvert	xy4270983172873989	1821	-72.87399122	42.70983114	1864644.766	2418284.123
1029	0.5	1	Culvert	xy4270443572875303	1820	-72.87530966	42.70443794	1864685.79	2417673.271
1030	0.9	1	Culvert	xy4263520272896557	3188	-72.89655489	42.6352097	1864869.097	2409746.8
1031	0.4	1	Culvert	xy4273093372862262	1647	-72.86226321	42.73093253	1865003.135	2420802.98
1032	0.4	1	Culvert	xy4266598572882383	1170	-72.8823787	42.66598652	1865162.17	2413363.668
1033	0.6	1	Culvert	xy4268385172873076	2278	-72.87307754	42.68385078	1865416.63	2415484.014
1034	0.6	1	Culvert	xy4272577172857240	1648	-72.85723634	42.72577708	1865539.206	2420342.489
1035	0.6	1	Culvert	xy4272411972857270	2145	-72.85726692	42.72412762	1865581.238	2420162.989
1036	1	1	Culvert	xy4266275772876216	1168	-72.87621607	42.66276489	1865736.281	2413135.171
1037	0.8	1	Culvert	xy4262757172884488	3189	-72.88448967	42.62757131	1866029.324	2409154.997
1038	1	1	Culvert	xy4262627872882692	2387	-72.88268684	42.62628303	1866206.662	2409050.644
1039	1	1	Culvert	xy4265827772871160	2675	-72.87116132	42.65827748	1866256.901	2412747.656
1040	0.7	1	Culvert	xy4262461272881742	3223	-72.88174255	42.62462081	1866326.134	2408888.867
1041	0.6	1	Culvert	xy4262114172881981	242	-72.88198327	42.62114871	1866400.564	2408507.48
1042	1	1	Culvert	xy4262496772880612	1761	-72.88061579	42.62496782	1866405.952	2408948.64
1043	1	1	Culvert	xy4262480072880656	1760	-72.88065968	42.62480094	1866406.972	2408929.675
1044	0.7	1	Culvert	xy4264745672872477	2472	-72.87247236	42.64745845	1866444.593	2411548.32
1045	0.8	1	Culvert	xy4265434772868442	2677	-72.86843923	42.65435393	1866577.879	2412375.517
1046	1	1	Culvert	xy4262770072876058	674	-72.87605766	42.62769958	1866693.071	2409334.509
1047	0.9	1	Culvert	xy4263883572868966	2473	-72.86896394	42.63884408	1866954.162	2410682.786
1048	1	1	Culvert	xy4264715772865997	2676	-72.8659987	42.64715734	1866964.786	2411642.818
1049	1	1	Culvert	xy4264374672866400	950	-72.86640135	42.64374581	1867024.84	2411264.845
1050	0.3	1	Culvert	xy4269180372848037	2538	-72.84804043	42.69180338	1867181.638	2416838.288
1051	-1	1	Culvert	xy4266604372856506	287	-72.8565041	42.66604394	1867206.811	2413878
1052	1	1	Culvert	xy4265259672860632	1996	-72.86062725	42.65259507	1867243.147	2412338.194
1053	-1	1	Culvert	xy4265890172857171	2143	-72.8571765	42.65890826	1867345.943	2413090.791
1054	0.7	1	Culvert	xy4272554772834334	854	-72.83433296	42.72554743	1867354.947	2420767.402
1055	0.4	1	Culvert	xy4266413372851825	2448	-72.85180951	42.66413328	1867629.552	2413763.006
1056	0.4	1	Culvert	xy4268299772845358	2539	-72.84535762	42.68300592	1867630.904	2415936.815
1057	0.4	1	Culvert	xy4267104172848906	2673	-72.84890902	42.67104178	1867672.675	2414569.346
1058	1	1	Culvert	xy4267100972847924	2706	-72.84792437	42.67101746	1867751.188	2414586.06
1059	0.9	1	Culvert	xy4262547572862520	3543	-72.86251663	42.62547616	1867824.41	2409359.378
1060	1	1	Culvert	xy4270479772835453	1546	-72.83545383	42.70479717	1867826.074	2418494.92
1061	0.7	1	Culvert	xy4262536972862441	3542	-72.86243728	42.62537094	1867833.524	2409349.523
1062	0.8	1	Culvert	xy4268420972838926	56	-72.83893275	42.68421224	1868106.293	2416193.935
1063	0.9	1	Culvert	xy4270641672825107	855	-72.82510099	42.7064202	1868600.448	2418874.467
1064	0.5	1	Culvert	xy4272195172819287	2569	-72.81928551	42.7219511	1868640.826	2420673.155
1065	1	1	Culvert	xy4271801272818486	2571	-72.8184844	42.71801239	1868810.43	2420261.758
1066	1	1	Culvert	xy4263518372845450	3203	-72.84545107	42.63518628	1868912.88	2410748.174
1067	0.7	1	Culvert	xy4267109672832762	1863	-72.83275837	42.67109734	1868948.198	2414892.886
1068	1	1	Culvert	xy4271464372816523	2570	-72.8165263	42.71464317	1869056.09	2419934.877
1069	0.6	1	Culvert	xy4273046272808376	618	-72.80837701	42.73046195	1869272.842	2421810.659
1070	0.6	1	Culvert	xy4265093672834816	1842	-72.83482183	42.65092644	1869329.157	2412664.517
1071	0.3	1	Culvert	xy4262763372838826	1843	-72.83883278	42.62763615	1869640.096	2410059.396
1072	1	1	Culvert	xy4261782072842111	2238	-72.84211121	42.61782041	1869645.425	2408930.183
1073	1	1	Culvert	xy4261766472842088	2237	-72.84208679	42.61766397	1869651.576	2408913.694
1074	0.4	1	Culvert	xy4266082072825621	1775	-72.82561698	42.66082256	1869790.114	2413918.956
1075	1	1	Culvert	xy4262204172837451	1398	-72.83744581	42.62204763	1869900.573	2409480.503
1076	1	1	Culvert	xy4262043472836592	1401	-72.83658719	42.62043539	1870012.001	2409322.519
1077	0.4	1	Culvert	xy4267325772818460	222	-72.81846414	42.67325739	1870020.079	2415408.356
1078	0.5	1	Culvert	xy4265543572824013	1776	-72.82401441	42.65544384	1870062	2413367.113
1079	1	1	Culvert	xy4261748272836362	1399	-72.83636512	42.61748288	1870109.216	2409006.632
1080	0.6	1	Culvert	xy4272700072796871	3487	-72.79687192	42.72700008	1870275.195	2421661.604
1081	0.4	1	Culvert	xy4272397772796118	3488	-72.7961131	42.72398019	1870416.727	2421349.056
1082	0.4	1	Culvert	xy4265846872814926	203	-72.81493672	42.65846819	1870698.236	2413873.792
1083	1	1	Culvert	xy4261720072827791	684	-72.82779181	42.61719966	1870795.252	2409144.651
1084	0.3	1	Culvert	xy4273032572789122	1184	-72.78911658	42.73032804	1870797.896	2422175.138
1085	0.2	1	Culvert	xy4261694972827774	683	-72.82777422	42.616949	1870803.409	2409117.81
1086	0.4	1	Culvert	xy4265067072813889	1786	-72.81387599	42.65067037	1870992.653	2413048.938
1087	0.4	1	Culvert	xy4264923972814319	1787	-72.81431953	42.64924702	1870996.003	2412885.831
1088	0.3	1	Culvert	xy4268359672801330	331	-72.80133057	42.68360452	1871095.162	2416867.777
1089	0.4	1	Culvert	xy4264546672814280	1067	-72.81429352	42.64547633	1871099.866	2412477.378
1090	0.8	1	Culvert	xy4263899572815424	873	-72.81543591	42.63900915	1871184.111	2411753.456
